,p_val,avg_logFC,pct.1,pct.2,p_val_adj
IER5,3.91649170975107e-39,-0.267123087694741,0.167,0.303,7.30778188122452e-35
MT1F,6.68647269998239e-39,-0.252078827469221,0.305,0.494,1.24762894108971e-34
MT-ATP6,1.31118388827176e-38,0.477957888477008,0.992,0.993,2.44653801712627e-34
JUNB,1.36334028807053e-37,-0.323389910643787,0.232,0.371,2.54385664351081e-33
MTRNR2L12,1.15748570735767e-36,-0.314239242218331,0.934,0.978,2.15975258135868e-32
MT-ND3,9.71213301178055e-36,-0.309933953031481,0.975,0.986,1.81218689866813e-31
AKIRIN1,1.02907418828909e-35,-0.29368632794877,0.72,0.709,1.92014952792861e-31
DNAJB1,3.10799948916197e-35,-0.400803730823647,0.623,0.667,5.79921624682732e-31
PABPC4,2.74026175084198e-34,-0.26136291064961,0.938,0.867,5.11305440089606e-30
CALCB,1.54670819929643e-33,-0.340136216502467,0.192,0.322,2.88600282906721e-29
DUSP2,5.56997575247919e-33,-0.388944161206294,0.218,0.347,1.03930177565509e-28
TUBB4B,1.45916753764552e-32,0.266704992582195,0.798,0.657,2.72266070849277e-28
MT-ND5,2.00637240044891e-31,0.3620004378147,0.952,0.943,3.74369026199761e-27
SERTAD1,2.57781093165244e-28,-0.269783759637104,0.199,0.296,4.80993741737029e-24
CTPS1,3.21278622293511e-27,-0.284101825274868,0.473,0.533,5.99473781337463e-23
HILPDA,1.30064283256934e-15,0.302507983057077,0.37,0.332,2.42686946129114e-11
MALAT1,3.46254522700133e-05,0.262025822937179,0.999,0.993,0.646076313906177
NDUFS5,0.423280542558851,-0.342245251474422,1,1,1
