,p_val,avg_logFC,pct.1,pct.2,p_val_adj
SERTAD1,8.82549584493682e-27,-0.313346042591167,0.161,0.28,1.64674926970676e-22
CNKSR3,1.01032659531606e-26,0.269908644889963,0.386,0.21,1.88516839420024e-22
MT-CO3,1.50871882426949e-25,0.479089223857226,0.995,0.996,2.81511845420445e-21
NRN1,1.25907236467823e-24,0.256554822392916,0.837,0.674,2.34930312525311e-20
FAM162A,1.80728284153584e-24,0.270992827727642,0.524,0.335,3.37220905402173e-20
CALCB,3.16446268550321e-24,-0.352470982599987,0.172,0.317,5.90457092488044e-20
AKIRIN1,1.17349327460926e-23,-0.281866163136284,0.738,0.723,2.18962110109342e-19
NPPA,2.60320786236981e-22,0.332955643396456,0.623,0.474,4.85732555039584e-18
TUBB4B,3.62122604066951e-20,0.256020549164314,0.8,0.66,6.75684566928524e-16
MT-ND4,1.00741058168158e-19,0.348930332924528,0.995,0.998,1.87972740435966e-15
CTPS1,2.75041247086734e-16,-0.251394833492455,0.467,0.526,5.13199462939136e-12
VEGFA,7.94024591695756e-14,-0.254400175860718,0.218,0.344,1.48157048564511e-09
HILPDA,7.26937622896135e-13,0.304775641013775,0.351,0.324,1.3563929105619e-08
MALAT1,3.03609393035503e-11,0.416249617238464,0.999,0.995,5.66504766464945e-07
MT-CO2,3.33127665494395e-10,0.281628482437879,0.996,0.994,6.21582911045991e-06
NDUFS5,0.0260819195408066,-0.338026554627382,1,1,1
