,1,2,3,4,5,6,7,8,9,10,11,12
CTNNBIP1,0.206845238095238,0.319709355131698,0.291053227633069,0.0889679715302491,0.29004329004329,0.3014440433213,0.0689655172413793,0.0869565217391304,0.116279069767442,0.0707070707070707,0.0384615384615385,0
LZIC,0.13764880952381,0.203451407811081,0.154020385050963,0.199288256227758,0.261904761904762,0.176895306859206,0.0850574712643678,0.075098814229249,0.133720930232558,0.191919191919192,0.192307692307692,0
NMNAT1,0.021577380952381,0.0145322434150772,0.014722536806342,0.0249110320284698,0.0216450216450216,0.0324909747292419,0.00689655172413793,0,0.0348837209302326,0.0202020202020202,0.0576923076923077,0
RBP7,0.0111607142857143,0.0190735694822888,0.00679501698754247,0.00177935943060498,0.0432900432900433,0.0180505415162455,0.00919540229885057,0.00395256916996047,0.27906976744186,2.44444444444444,0,0
UBE4B,0.0669642857142857,0.109900090826521,0.206115515288788,0.0711743772241993,0.188311688311688,0.263537906137184,0.0988505747126437,0.0988142292490119,0.0523255813953488,0.0505050505050505,0.134615384615385,0.0344827586206897
KIF1B,0.164434523809524,0.244323342415985,0.373725934314836,0.126334519572954,0.33982683982684,0.382671480144404,0.319540229885057,0.0237154150197628,0.0465116279069767,0.151515151515151,0.173076923076923,0
PGD,0.452380952380952,0.787465940054496,0.663646659116648,0.183274021352313,0.696969696969697,0.90072202166065,0.131034482758621,0.221343873517787,0.883720930232558,0.111111111111111,0.0961538461538462,0.0689655172413793
CENPS-CORT,0.00223214285714286,0.00635785649409628,0.00226500566251416,0,0.00649350649350649,0.0036101083032491,0.00229885057471264,0,0,0,0,0
CENPS,0.015625,0.0308810172570391,0.0226500566251416,0,0.0692640692640693,0.0667870036101083,0.00229885057471264,0.00790513833992095,0,0,0.0384615384615384,0.0344827586206897
DFFA,0.0989583333333333,0.119891008174387,0.122310305775764,0.115658362989324,0.147186147186147,0.15884476534296,0.11264367816092,0.0474308300395257,0.0697674418604651,0.111111111111111,0.0961538461538462,0
PEX14,0.0699404761904762,0.0926430517711172,0.0826727066817667,0.0587188612099644,0.0865800865800866,0.0812274368231047,0.0275862068965517,0.0671936758893281,0.00581395348837209,0.0101010101010101,0.0961538461538462,0
CASZ1,0.078125,0.0962761126248865,0.0951302378255946,0.00177935943060498,0.0974025974025974,0.0667870036101083,0.0827586206896552,0,0,0.0606060606060606,0.0192307692307692,0
C1orf127,0.203869047619048,0.350590372388738,0.268403171007928,0.00177935943060498,0.168831168831169,0.350180505415162,0.160919540229885,0.00790513833992095,0.0116279069767442,0,0.0192307692307692,0.0344827586206897
TARDBP,0.197172619047619,0.302452316076294,0.169875424688562,0.0729537366548043,0.454545454545455,0.250902527075812,0.195402298850575,0.0158102766798419,0.0813953488372093,0.121212121212121,0.173076923076923,0.0689655172413793
AL109811.3,0.0223214285714286,0.0236148955495005,0.0181200453001133,0,0.0151515151515152,0.0126353790613718,0.0275862068965517,0,0,0,0,0
SRM,0.433035714285714,1.41871026339691,0.628539071347678,0.199288256227758,0.53030303030303,1.00902527075812,0.163218390804598,0.41501976284585,0.284883720930233,0.272727272727273,0.173076923076923,0.344827586206897
EXOSC10,0.157738095238095,0.282470481380563,0.238958097395243,0.0943060498220641,0.303030303030303,0.326714801444043,0.190804597701149,0.0513833992094862,0.0581395348837209,0.0505050505050505,0.0769230769230769,0
