,SCAF1355_6,SCAF1356_16,SCAF1357_6PDC,SCAF1358_16PDC
AL450998.2,0.0420168067226891,0.0197044334975369,0.0317460317460317,0.0454545454545455
SPEN,0.092436974789916,0.0443349753694581,0.0952380952380952,0.0772727272727273
ZBTB17,0.0252100840336134,0,0.0476190476190476,0.0181818181818182
FAM131C,0,0,0,0.00454545454545455
EPHA2,0.0168067226890756,0,0.0158730158730159,0.0136363636363636
ARHGEF19,0.0252100840336134,0.0147783251231527,0.0158730158730159,0.0181818181818182
CPLANE2,0,0.00492610837438424,0,0
FBXO42,0,0.0147783251231527,0.0793650793650794,0.0136363636363636
SZRD1,0.0588235294117647,0.0886699507389163,0.158730158730159,0.0954545454545455
NECAP2,0.092436974789916,0.0886699507389163,0.158730158730159,0.109090909090909
NBPF1,0.00840336134453781,0.00492610837438424,0.0634920634920635,0.00454545454545455
CROCC,0.0504201680672269,0.0246305418719212,0.0476190476190476,0.0272727272727273
BX284668.5,0.0420168067226891,0.0541871921182266,0.0793650793650794,0.0318181818181818
BX284668.6,0.0252100840336134,0.00985221674876847,0.0317460317460317,0.0136363636363636
MFAP2,0.0336134453781513,0.00985221674876847,0.158730158730159,0.0409090909090909
ATP13A2,0.0420168067226891,0.00985221674876847,0.0317460317460317,0.00909090909090909
SDHB,0.0588235294117647,0.103448275862069,0.174603174603175,0.0681818181818182
PADI2,0.00840336134453781,0,0.0634920634920635,0.00909090909090909
RCC2,0.0504201680672269,0.0147783251231527,0.0158730158730159,0.0181818181818182
ARHGEF10L,0,0.00492610837438424,0,0.00909090909090909
IGSF21,0.0504201680672269,0,0.0158730158730159,0.0318181818181818
ALDH4A1,0.00840336134453781,0.00492610837438424,0,0
IFFO2,0,0.0147783251231527,0.0158730158730159,0.00454545454545455
UBR4,0.0588235294117647,0.0738916256157636,0.206349206349206,0.0727272727272727
AL035413.1,0.00840336134453781,0.00985221674876847,0,0.00454545454545455
EMC1,0,0.00985221674876847,0.0158730158730159,0.0181818181818182
MRTO4,0.00840336134453781,0,0,0.0227272727272727
AKR7A3,0,0.0197044334975369,0,0.0181818181818182
AKR7A2,0.0336134453781513,0.0492610837438424,0.0317460317460317,0.0772727272727273
