,SCAF1355_6,SCAF1356_16,SCAF1357_6PDC,SCAF1358_16PDC
ZNF674-AS1,0.0430009149130833,0.0410602910602911,0.0636182902584493,0.04527402700556
CHST7,0.0420860018298262,0.027027027027027,0.0397614314115308,0.039714058776807
SLC9A7,0.138151875571821,0.0265072765072765,0.196819085487078,0.0262112787926926
RP2,0.0411710887465691,0.025987525987526,0.0298210735586481,0.0246227164416203
LINC01545,0,0.00311850311850312,0,0.00158856235107228
JADE3,0.0256175663311985,0.0420997920997921,0.0298210735586481,0.0468625893566322
NDUFB11,3.45379688929552,3.54573804573805,3.26441351888668,3.77680698967434
RBM10,0.182982616651418,0.128378378378378,0.222664015904573,0.143764892772041
UBA1,0.312900274473925,0.242723492723493,0.387673956262425,0.282764098490866
CDK16,0.215004574565416,0.231808731808732,0.226640159045726,0.276409849086577
USP11,0.397987191216834,0.272349272349272,0.52286282306163,0.28594122319301
ZNF157,0.0128087831655993,0.00155925155925156,0.0099403578528827,0.00238284352660842
ZNF41,0.020128087831656,0.0187110187110187,0.0278330019880716,0.0333598093725179
LINC01560,0.0192131747483989,0.00623700623700624,0.0218687872763419,0.011119936457506
ARAF,0.0741079597438243,0.0753638253638254,0.107355864811133,0.0976965845909452
SYN1,0.0988106129917658,0.0332640332640333,0.101391650099404,0.0444797458300238
TIMP1,1.68069533394328,5.39553014553015,1.27236580516899,5.89436060365369
CFP,0.00823421774931381,0.00103950103950104,0.00795228628230616,0.00238284352660842
ELK1,0.103385178408051,0.0727650727650728,0.10337972166998,0.0730738681493249
UXT,1.35407136322049,1.28118503118503,1.21073558648111,1.14932486100079
UXT-AS1,0.00640439158279963,0.00415800415800416,0.00397614314115308,0.00555996822875298
ZNF81,0.0182982616651418,0.00623700623700624,0.0318091451292246,0.00635424940428912
ZNF182,0.0237877401646844,0.0213097713097713,0.0238568588469185,0.0301826846703733
ZNF630,0.0155535224153705,0.0369022869022869,0.0357852882703777,0.0270055599682288
FTSJ1,0.0933211344922232,0.0821205821205821,0.141153081510934,0.0921366163621922
AF196972.1,0.00182982616651418,0.00155925155925156,0.00397614314115308,0
PORCN,0.0311070448307411,0.0124740124740125,0.0238568588469185,0.0206513105639396
EBP,0.293687099725526,0.240644490644491,0.300198807157058,0.326449563145353
TBC1D25,0.0430009149130833,0.0420997920997921,0.0616302186878728,0.0413026211278793
AC115618.1,0.00274473924977127,0.00311850311850312,0.00397614314115308,0.00238284352660842
RBM3,0.637694419030192,0.334719334719335,0.646123260437376,0.374900714853058
WDR13,0.191216834400732,0.179313929313929,0.218687872763419,0.210484511517077
WAS,0.00640439158279963,0.00363825363825364,0.00596421471172962,0.00317712470214456
SUV39H1,0.0265324794144556,0.0223492723492724,0.0178926441351889,0.0270055599682288
AC231533.1,0.00182982616651418,0.00155925155925156,0,0.00317712470214456
GLOD5,0.0109789569990851,0.0265072765072765,0.0278330019880716,0.0349483717235902
HDAC6,0.0942360475754803,0.0821205821205821,0.0974155069582505,0.0651310563939635
PCSK1N,12.8133577310156,3.76247401247401,12.4333996023857,3.76330420969023
TIMM17B,0.847209515096066,0.96985446985447,0.733598409542744,1.05480540111199
PQBP1,0.774016468435499,0.416839916839917,0.753479125248509,0.448768864177919
SLC35A2,0.0338517840805123,0.0379417879417879,0.0417495029821074,0.062748212867355
PIM2,0.0567246111619396,0.0420997920997921,0.0437375745526839,0.0532168387609214
OTUD5,0.0896614821591949,0.0826403326403326,0.121272365805169,0.127084988085782
KCND1,0.00731930466605672,0.00883575883575884,0.0119284294234592,0.00873709293089754
GRIPAP1,0.154620311070448,0.132536382536383,0.226640159045726,0.142970611596505
TFE3,0.0347666971637694,0.0426195426195426,0.0616302186878728,0.0373312152501986
CCDC120,0.0347666971637694,0.0353430353430353,0.0437375745526839,0.034154090548054
PRAF2,0.0960658737419945,0.0431392931392931,0.135188866799205,0.0548054011119936
WDR45,0.128087831655993,0.110706860706861,0.147117296222664,0.132644956314535
GPKOW,0.0466605672461116,0.0582120582120582,0.0755467196819085,0.062748212867355
MAGIX,0.0256175663311985,0.0285862785862786,0.0397614314115308,0.0301826846703733
PLP2,1.02744739249771,1.93035343035343,0.944333996023857,2.16123907863384
PRICKLE3,0.0155535224153705,0.0280665280665281,0.025844930417495,0.0270055599682288
SYP,0.297346752058554,0.25,0.355864811133201,0.245432883240667
