,SCAF1355_6,SCAF1356_16,SCAF1357_6PDC,SCAF1358_16PDC
ZNF124,0.0917838638045892,0.0519423832387604,0.149443561208267,0.0764179104477612
AL390728.6,0.0340488527017024,0.0174596246180707,0.0302066772655008,0.0304477611940299
ZNF496,0.074019245003701,0.0624181580096028,0.139904610492846,0.097910447761194
NLRP3,0.00370096225018505,0.00480139676996945,0,0.00895522388059702
OR2C3,0.0148038490007402,0.0144041903099083,0.0254372019077901,0.0208955223880597
GCSAML-AS1,0.00370096225018505,0.00480139676996945,0,0.00477611940298507
SH3BP5L,0.0873427091043671,0.0510694020078568,0.0985691573926868,0.0740298507462687
ZNF672,0.0821613619541081,0.0742034046268005,0.0906200317965024,0.111044776119403
ZNF692,0.120651369356033,0.0829332169358359,0.152623211446741,0.106268656716418
PGBD2,0.0444115470022206,0.0615451767786993,0.0731319554848967,0.0907462686567164
SH3YL1,0.112509252405625,0.164120471409865,0.14308426073132,0.263283582089552
ACP1,0.680236861584012,0.597992143168922,1.02702702702703,1.25074626865672
TMEM18,0.515914137675796,0.350065473592318,0.5818759936407,0.488955223880597
AC092159.2,0.0688378978534419,0.0650371017023134,0.158982511923688,0.0656716417910448
AC092159.3,0.0392301998519615,0.043212570929725,0.0556438791732909,0.0638805970149254
AC116609.3,0.00592153960029608,0.00349192492361414,0.0222575516693164,0.00477611940298507
LINC01939,0.0155440414507772,0.0135312090790048,0.027027027027027,0.0364179104477612
AC116614.1,0.0325684678016284,0.0392841553906591,0.0508744038155803,0.0740298507462687
SNTG2,0.119170984455959,0.0646006110868616,0.155802861685215,0.0877611940298507
TPO,0.0259067357512953,0.0122217372326495,0.0445151033386327,0.0155223880597015
AC141930.3,0.00814211695040711,0,0,0
PXDN,0.106587712805329,0.0916630292448712,0.139904610492846,0.148059701492537
MYT1L,0.327165062916358,0.205587079877783,0.399046104928458,0.180298507462687
MYT1L-AS1,0.00888230940044412,0.00480139676996945,0.00635930047694754,0.00477611940298507
AC018685.2,0.00666173205033309,0.00349192492361414,0.00635930047694754,0.00358208955223881
LINC01250,0.0207253886010363,0.00218245307725884,0.027027027027027,0.00298507462686567
EIPR1,0.116210214655811,0.0641641204714099,0.178060413354531,0.101492537313433
TRAPPC12,0.152479644707624,0.060235704932344,0.155802861685215,0.12955223880597
ADI1,0.492968171724648,0.551287647315583,0.593004769475358,1.19761194029851
AC231981.1,0.0355292376017765,0.0139676996944566,0.0492845786963434,0.0256716417910448
RNASEH1,0.0940044411547002,0.056307289393278,0.108108108108108,0.0770149253731343
RNASEH1-AS1,0.0710584752035529,0.0427760803142732,0.0937996820349762,0.0591044776119403
RPS7,18.1339748334567,12.4098646879092,23.8600953895072,22.6585074626866
COLEC11,0.0518134715025907,0.256219991270188,0.0620031796502385,0.535522388059702
ALLC,0.0111028867505551,0.00872981230903536,0.0174880763116057,0.0113432835820896
AC010907.1,0.00518134715025907,0,0.0095389507154213,0
LINC01249,0.0185048112509252,0,0.0397456279809221,0
AC107057.1,0.0074019245003701,0,0.0111287758346582,0
SOX11,0.284233900814212,0.0824967263203841,0.373608903020668,0.107462686567164
CMPK2,0.0155440414507772,0.0148406809253601,0.0127186009538951,0.0256716417910448
RSAD2,0.0155440414507772,0.0157136621562636,0.0349761526232114,0.0161194029850746
AC017076.1,0.00518134715025907,0,0,0
RNF144A,0.156920799407846,0.0536883457005674,0.179650238473768,0.0877611940298507
LINC01814,0.0185048112509252,0.00960279353993889,0.0174880763116057,0.0107462686567164
ID2,0.921539600296077,0.587079877782628,1.55484896661367,1.00955223880597
KIDINS220,0.354552183567728,0.202095154954168,0.551669316375199,0.242985074626866
MBOAT2,0.133234641006662,0.0942819729375818,0.200317965023847,0.131940298507463
ASAP2,0.0399703923019985,0.031863814927979,0.082670906200318,0.0847761194029851
ITGB1BP1,0.222057735011103,0.178524661719773,0.287758346581876,0.33910447761194
CPSF3,0.139896373056995,0.0912265386294195,0.236883942766296,0.183880597014925
IAH1,0.383419689119171,0.35050196420777,0.449920508744038,0.697910447761194
ADAM17,0.07920059215396,0.0680925360104758,0.130365659777424,0.0811940298507463
AC073195.1,0.0303478904515174,0.0104757747708424,0.0397456279809221,0.0316417910447761
YWHAQ,2.08734270910437,1.70842426887822,2.95548489666137,3.26686567164179
AC082651.3,0.0125832716506292,0.00742034046268005,0.0174880763116057,0.0173134328358209
TAF1B,0.0903034789045152,0.0925360104757748,0.135135135135135,0.119402985074627
AC010969.2,0.0162842339008142,0.00916630292448712,0.0174880763116057,0.0155223880597015
GRHL1,0.0155440414507772,0.0183326058489742,0.014308426073132,0.026865671641791
AC104794.2,0.0318282753515914,0.0139676996944566,0.0397456279809221,0.0262686567164179
KLF11,0.105847520355292,0.0580532518550851,0.14308426073132,0.104477611940299
RRM2,0.0510732790525537,0.0580532518550851,0.0747217806041336,0.0865671641791045
C2orf48,0.00296076980014804,0.0013094718463553,0,0.00537313432835821
HPCAL1,0.53960029607698,0.423395896988215,0.604133545310016,0.626268656716418
ODC1,0.538119911176906,0.155827149716281,0.744038155802862,0.486567164179104
AC007249.2,0.00370096225018505,0,0.0095389507154213,0.00238805970149254
NOL10,0.077720207253886,0.0737669140113488,0.14308426073132,0.0949253731343284
RN7SL832P,0.00666173205033309,0,0.0127186009538951,0
ATP6V1C2,0.162842339008142,0.0384111741597556,0.24483306836248,0.0740298507462687
PDIA6,1.119911176906,2.07682234831951,1.58505564387917,3.75044776119403
LINC01954,0.0118430792005922,0.00480139676996945,0.0206677265500795,0.00716417910447761
KCNF1,0.129533678756477,0.0597992143168922,0.14308426073132,0.0805970149253731
AC062028.1,0.0673575129533679,0.0209515495416849,0.106518282988871,0.0304477611940299
C2orf50,0.00222057735011103,0.00523788738542121,0.0127186009538951,0.00955223880597015
PQLC3,0.0384900074019245,0.0558707987778263,0.0667726550079491,0.121791044776119
ROCK2,0.139156180606958,0.121344391095591,0.157392686804452,0.178507462686567
E2F6,0.0821613619541081,0.0641641204714099,0.101748807631161,0.0758208955223881
GREB1,0.0229459659511473,0.048886948930598,0.0302066772655008,0.0740298507462687
LPIN1,0.219837157660992,0.138804015713662,0.292527821939587,0.162388059701493
MIR3681HG,0.0962250185048113,0.0209515495416849,0.131955484896661,0.0364179104477612
TRIB2,0.170244263508512,0.141422959406373,0.297297297297297,0.223880597014925
FAM84A,0.12139156180607,0.0707114797031864,0.151033386327504,0.0991044776119403
NBAS,0.148778682457439,0.103884766477521,0.232114467408585,0.13134328358209
DDX1,0.256846780162842,0.152771715408119,0.325914149443561,0.242388059701493
MYCN,0.00814211695040711,0,0.0127186009538951,0
