,met1,met2
CHMP3,0.535714285714286,0.355325164938737
RNF103-CHMP3,0.0037593984962406,0.00125667609173735
AC015971.1,0.0012531328320802,0.000314169022934339
RNF103,0.0839598997493734,0.0841972981464028
RMND5A,0.151002506265664,0.116870876531574
CD8A,0.0219298245614035,0.00377002827521206
CD8B,0.0538847117794486,0.130694313540685
PLGLB1,0.0100250626566416,0.00628338045868677
LINC01943,0.0043859649122807,0.00251335218347471
CYTOR,0.327067669172932,0.198240653471568
KRCC1,0.369047619047619,0.424128180961357
THNSL2,0.0745614035087719,0.113729186302231
EIF2AK3,0.0776942355889724,0.0323594093622369
AC062029.1,0.0025062656641604,0.0040841972981464
RPIA,0.134085213032581,0.0845114671693371
AC233263.6,0.0043859649122807,0.000942507068803016
MAL,0.0369674185463659,0.122840087967326
MRPS5,0.355889724310777,0.302544769085768
ZNF514,0.0908521303258145,0.0493245366006912
ZNF2,0.0225563909774436,0.0153942821237826
AC092835.1,0.0325814536340852,0.017593465284323
PROM2,0.0050125313283208,0.00282752120640905
KCNIP3,0.0106516290726817,0.0157084511467169
FAHD2A,0.102130325814536,0.0609487904492617
AC009237.14,0.0933583959899749,0.0543512409676406
AC009237.15,0.0012531328320802,0.00219918316054037
LINC00342,0.0206766917293233,0.018535972353126
ANKRD36C,0.236842105263158,0.149230285893811
GPAT2,0.0006265664160401,0.00219918316054037
ASTL,0.0012531328320802,0.000942507068803016
DUSP2,1.2374686716792,0.516493873704053
STARD7,0.407894736842105,0.259189443920829
TMEM127,0.0557644110275689,0.0600062833804587
CIAO1,0.274436090225564,0.18033301916431
SNRNP200,0.431077694235589,0.323594093622369
AC021188.1,0.0043859649122807,0.000942507068803016
ITPRIPL1,0.0231829573934837,0.0197926484448633
NCAPH,0.0457393483709273,0.0449261702796104
ARID5A,0.0175438596491228,0.0568645931511153
KANSL3,0.102756892230576,0.0889098334904178
FER1L5,0.0075187969924812,0.00534087338988376
LMAN2L,0.115914786967419,0.0914231856738926
CNNM4,0.031328320802005,0.0254476908576814
CNNM3,0.0507518796992481,0.0383286207979893
ANKRD23,0.0043859649122807,0.00314169022934339
ANKRD39,0.141604010025063,0.172478793590952
SEMA4C,0.133458646616541,0.124096764059064
FAM178B,0.118421052631579,0.145146088595664
FAHD2B,0.0614035087719298,0.0455545083254791
ANKRD36,0.242481203007519,0.213949104618285
AC092683.1,0.0426065162907268,0.056550424128181
ANKRD36B,0.210526315789474,0.212064090480679
COX5B,3.88784461152882,4.07948476280239
ACTR1B,0.197368421052632,0.183160540370719
C2orf92,0.0106516290726817,0.0119384228715049
ZAP70,0.0225563909774436,0.00219918316054037
TMEM131,0.0902255639097744,0.0857681432610745
VWA3B,0.0018796992481203,0.0106817467797675
INPP4A,0.0952380952380952,0.0735155513666352
COA5,0.322681704260652,0.360037700282752
UNC50,0.224937343358396,0.264216148287779
MGAT4A,0.174185463659148,0.240339302544769
AC109826.1,0.043859649122807,0.0260760289035501
KIAA1211L,0.12406015037594,0.10933081998115
TSGA10,0.172305764411028,0.129123468426013
C2orf15,0.0708020050125313,0.0289035501099592
AC079447.1,0.0006265664160401,0.0040841972981464
LIPT1,0.0463659147869674,0.0546654099905749
AC092587.1,0.0031328320802005,0.000628338045868677
MITD1,0.151002506265664,0.145774426641533
MRPL30,0.0745614035087719,0.0530945648759032
LYG1,0.0031328320802005,0.000942507068803016
TXNDC9,0.204887218045113,0.174677976751492
EIF5B,0.546365914786967,0.386113729186302
REV1,0.169172932330827,0.172164624568018
AC018690.1,0.0006265664160401,0.000942507068803016
AFF3,0.0131578947368421,0.00219918316054037
AC092667.1,0.0018796992481203,0.000942507068803016
LONRF2,0.328320802005013,0.15928369462771
CHST10,0.0394736842105263,0.0219918316054037
PDCL3,0.253759398496241,0.219289978008168
NPAS2,0.0081453634085213,0.00251335218347471
AC016738.1,0.0012531328320802,0.000314169022934339
RPL31,6.17606516290727,4.98020735155514
TBC1D8,0.130325814536341,0.157084511467169
TBC1D8-AS1,0.0037593984962406,0.0040841972981464
CNOT11,0.112155388471178,0.0644046497015394
RNF149,0.239974937343358,0.229971724787936
CREG2,0.0213032581453634,0
RFX8,0.0150375939849624,0.000628338045868677
MAP4K4,0.31140350877193,0.187873075714735
IL1R1,0.0213032581453634,0.0182218033301916
IL18R1,0.0012531328320802,0.000942507068803016
SLC9A2,0.0112781954887218,0.00785422557335847
MFSD9,0.0538847117794486,0.0537229029217719
TMEM182,0.043859649122807,0.0348727615457116
LINC01102,0.0018796992481203,0.00125667609173735
MRPS9,0.100877192982456,0.115614200439837
TGFBRAP1,0.0870927318295739,0.0684888469996858
AC012360.1,0.012531328320802,0.00785422557335847
AC012360.3,0.0695488721804511,0.0395852968897267
C2orf49,0.115288220551378,0.158341187558907
FHL2,0.0087719298245614,0.0631479736098021
NCK2,0.105889724310777,0.0688030160226202
C2orf40,0.0432330827067669,0.14483191957273
UXS1,0.100877192982456,0.0999057492931197
CD8B2,0.0068922305764411,0.00691171850455545
ST6GAL2,0.0025062656641604,0.00345585925227773
LINC01886,0.0031328320802005,0.00502670436694942
SLC5A7,0.503132832080201,0.224630851398052
SULT1C2,0.006265664160401,0.0307885642475652
SULT1C4,0.0808270676691729,0.0326735783851712
GCC2,0.511278195488722,0.393653785736726
GCC2-AS1,0.0620300751879699,0.0461828463713478
LIMS1,0.159774436090226,0.241281809613572
RANBP2,0.477443609022556,0.398052152057807
CCDC138,0.102756892230576,0.0483820295318882
SH3RF3-AS1,0.0006265664160401,0.000942507068803016
SH3RF3,0.0075187969924812,0.00502670436694942
SEPT10,0.0595238095238095,0.0904806786050895
SOWAHC,0.0820802005012531,0.0395852968897267
RGPD5,0.0068922305764411,0.0116242538485705
AC013271.1,0.0006265664160401,0.00251335218347471
LINC01123,0.0075187969924812,0.00942507068803016
MALL,0.0043859649122807,0.00596921143575243
NPHP1,0.0745614035087719,0.0942507068803016
SMIM37,0.511278195488722,0.424756519007226
LINC01106,0.0050125313283208,0.00282752120640905
AC112229.3,0,0.00282752120640905
BUB1,0.0996240601503759,0.101476594407791
ACOXL,0.0031328320802005,0.00534087338988376
MIR4435-2HG,0.208646616541353,0.114671693371034
ACOXL-AS1,0.0012531328320802,0.00125667609173735
BCL2L11,0.111528822055138,0.162111215834119
AC068491.3,0.0050125313283208,0.000942507068803016
AC017002.1,0.0169172932330827,0.0119384228715049
ANAPC1,0.133458646616541,0.118127552623311
MERTK,0.0037593984962406,0.00157084511467169
TMEM87B,0.121553884711779,0.12095507382972
FBLN7,0.130952380952381,0.122840087967326
ZC3H8,0.286340852130326,0.164310398994659
ZC3H6,0.336466165413534,0.13760603204524
RGPD8,0.0037593984962406,0.000314169022934339
TTL,0.104636591478697,0.0587496072887213
POLR1B,0.068922305764411,0.0304743952246308
CHCHD5,0.434210526315789,0.350612629594722
AC012442.1,0.0012531328320802,0.00219918316054037
AC079922.2,0.0238095238095238,0.0163367891925856
SLC20A1,0.213659147869674,0.204524033930254
CKAP2L,0.0864661654135338,0.103989946591266
IL1RN,0,0.00188501413760603
PSD4,0.111528822055138,0.0697455230914232
PAX8,0.0469924812030075,0.0420986490732014
AC016745.2,0.0018796992481203,0.00125667609173735
