,met1,met2
USP44,0.0212121212121212,0.0158850226928896
NTN4,0.00353535353535354,0.0153807362581947
SNRPF,2.13131313131313,0.984367120524458
LTA4H,0.401010101010101,0.365103378719112
ELK3,0.0525252525252525,0.0426122037317196
CDK17,0.151515151515152,0.0950579929399899
CFAP54,0.0373737373737374,0.0390821986888553
NEDD1,0.112121212121212,0.0816944024205749
AC007656.1,0.0616161616161616,0.0590015128593041
LINC02453,0.00858585858585859,0.00479072112960161
TMPO-AS1,0.0823232323232323,0.0506807866868381
TMPO,0.568181818181818,0.437468482097832
SLC25A3,1.86717171717172,1.57261724659607
IKBIP,0.139393939393939,0.130105900151286
APAF1,0.0853535353535353,0.0663136661623802
ANKS1B,0.0414141414141414,0.0151285930408472
UHRF1BP1L,0.123232323232323,0.0849722642460918
ACTR6,0.262626262626263,0.218103883005547
SCYL2,0.168686868686869,0.109682299546142
SLC17A8,0.0353535353535354,0
GAS2L3,0.0550505050505051,0.0494200706001009
ANO4,0.0181818181818182,0.00353000504286435
UTP20,0.0585858585858586,0.0320221886031266
ARL1,0.289393939393939,0.354009077155825
CHPT1,0.0580808080808081,0.0385779122541604
GNPTAB,0.125757575757576,0.102370146243066
DRAM1,0.0227272727272727,0.0247100353000504
WASHC3,0.242929292929293,0.1732223903177
NUP37,0.125757575757576,0.10690872415532
PARPBP,0.0414141414141414,0.0408472012102874
LINC02456,0.0353535353535354,0.0191628845184065
IGF1,0.0106060606060606,0.00151285930408472
PAH,0.0277777777777778,0.0315179021684317
ASCL1,2.77929292929293,4.15431164901664
C12orf42,0.256060606060606,0.184820978315683
NT5DC3,0.0353535353535354,0.0297528996469995
HSP90B1,2.77727272727273,7.15279878971256
C12orf73,0.28989898989899,0.292486132123046
TDG,0.28989898989899,0.14952092788704
GLT8D2,0.0227272727272727,0.0277357539082199
HCFC2,0.0646464646464646,0.0509329299041856
NFYB,0.119191919191919,0.116742309631871
TXNRD1,0.240909090909091,0.134140191628845
EID3,0.0742424242424242,0.0496722138174483
CHST11,0.0328282828282828,0.0274836106908724
SLC41A2,0.047979797979798,0.021684316691881
C12orf45,0.277777777777778,0.185577407967726
ALDH1L2,0.00808080808080808,0.0103378719112456
WASHC4,0.142424242424242,0.135148764498235
APPL2,0.0974747474747475,0.0774079677256682
C12orf75,0.806565656565657,1.41401916288452
NUAK1,0.0565656565656566,0.0332829046898638
CKAP4,0.16969696969697,0.207261724659607
AC079174.2,0.00252525252525253,0.00252143217347453
TCP11L2,0.05,0.0428643469490671
POLR3B,0.0277777777777778,0.0264750378214826
AC079385.3,0.00353535353535354,0
RIC8B,0.123232323232323,0.0733736762481089
AC007541.1,0.122222222222222,0.086232980332829
TMEM263,0.266666666666667,0.246596066565809
MTERF2,0.152525252525253,0.131114473020676
CRY1,0.198484848484848,0.109178013111447
BTBD11,0.0752525252525253,0.00579929399899143
PWP1,0.329292929292929,0.228441754916793
PRDM4,0.0606060606060606,0.0441250630358043
FICD,0.0181818181818182,0.018910741301059
SART3,0.190909090909091,0.134896621280888
ISCU,0.614141414141414,0.730206757438225
TMEM119,0.0282828282828283,0.0320221886031266
CORO1C,0.15,0.168179525970751
SSH1,0.0560606060606061,0.0421079172970247
SVOP,0.0449494949494949,0.0181543116490166
USP30,0.0757575757575758,0.0542107917297025
USP30-AS1,0.00606060606060606,0.00655572365103379
ALKBH2,0.150505050505051,0.105395864851236
UNG,0.280808080808081,0.219868885526979
ACACB,0.0181818181818182,0.0103378719112456
KCTD10,0.0686868686868687,0.04059505799294
UBE3B,0.0722222222222222,0.0753908219868886
MMAB,0.212626262626263,0.234241048915784
MVK,0.0671717171717172,0.0537065052950076
FAM222A,0.0363636363636364,0.0239536056480081
GLTP,0.112626262626263,0.0816944024205749
TCHP,0.0964646464646465,0.0514372163388805
GIT2,0.097979797979798,0.0751386787695411
ANKRD13A,0.046969696969697,0.0347957639939486
C12orf76,0.301515151515152,0.203227433182047
IFT81,0.202525252525253,0.152294503277862
ATP2A2,0.385353535353535,0.333585476550681
ANAPC7,0.139393939393939,0.110690872415532
ARPC3,1.91969696969697,2.2077660110943
GPN3,0.214141414141414,0.183812405446293
FAM216A,0.357070707070707,0.154815935451336
VPS29,1.04040404040404,0.858799798285426
RAD9B,0.00454545454545455,0.00403429147755925
PPTC7,0.0636363636363636,0.0451336359051941
TCTN1,0.50050505050505,0.603883005547151
HVCN1,0.0176767676767677,0.0249621785173979
PPP1CC,0.947979797979798,0.692889561270802
CUX2,0.00757575757575758,0.00403429147755925
PHETA1,0.0222222222222222,0.0136157337367625
SH2B3,0.0308080808080808,0.0179021684316692
ATXN2,0.203030303030303,0.157337367624811
ATXN2-AS,0.00555555555555556,0.00579929399899143
BRAP,0.11010101010101,0.0766515380736258
ACAD10,0.0358585858585859,0.0158850226928896
ALDH2,0.0570707070707071,0.0501765002521432
MAPKAPK5-AS1,0.307070707070707,0.221381744831064
MAPKAPK5,0.16010101010101,0.110943015632879
TMEM116,0.125757575757576,0.116994452849218
ERP29,1.31212121212121,2.20272314674735
NAA25,0.196464646464646,0.142208774583964
TRAFD1,0.119191919191919,0.0885022692889561
HECTD4,0.187373737373737,0.130610186585981
RPL6,17.2717171717172,14.2425617750882
PTPN11,0.244444444444444,0.166414523449319
OAS1,0.00555555555555556,0.0317700453857791
AC004551.1,0.0429292929292929,0
OAS3,0.0151515151515152,0.0186585980837115
OAS2,0.0121212121212121,0.0115985879979829
DTX1,0.0343434343434343,0.0166414523449319
RASAL1,0.107070707070707,0.0758951084215835
CFAP73,0.00202020202020202,0.00226928895612708
DDX54,0.165151515151515,0.122541603630862
RITA1,0.0818181818181818,0.0746343923348462
IQCD,0.0525252525252525,0.0690872415532022
TPCN1,0.0393939393939394,0.0549672213817448
SLC8B1,0.0176767676767677,0.0201714573877963
PLBD2,0.0535353535353535,0.0358043368633384
SDS,0.0146464646464646,0.0131114473020676
SDSL,0.047979797979798,0.0655572365103379
RBM19,0.0474747474747475,0.0292486132123046
TBX3,0.00252525252525253,0.00932929904185577
MED13L,0.205555555555556,0.14851235501765
MAP1LC3B2,0.0121212121212121,0.00907715582450832
C12orf49,0.0580808080808081,0.0355521936459909
RNFT2,0.048989898989899,0.00731215330307615
HRK,0.0323232323232323,0.00504286434694907
FBXW8,0.0398989898989899,0.0264750378214826
TESC,0.0237373737373737,0.0426122037317196
FBXO21,0.346969696969697,0.233736762481089
